priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,addr,_package,_class,_method
M,V,EI_EXPOSE_REP,com.helger.as2.cmdprocessor.StreamCommandProcessor,m_aWriter,getWriter()Ljava/io/BufferedWriter;,99,99,0,EI,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.getWriter
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmdprocessor.StreamCommandProcessor,NO_FIELD,NO_METHOD,76,199,0,SnVI,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.StreamCommandProcessor,m_aReader,NO_METHOD,-1,-1,0,Se,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.StreamCommandProcessor,m_aWriter,NO_METHOD,-1,-1,0,Se,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.NO_METHOD
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.StreamCommandProcessor,NO_FIELD,<init>()V,84,84,0,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.<init>
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.StreamCommandProcessor,NO_FIELD,<init>()V,83,83,0,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.<init>
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.DeletePartnerCommand,NO_FIELD,NO_METHOD,48,86,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.DeletePartnerCommand,com.helger.as2.cmd.partner.DeletePartnerCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.AddPartnerCommand,NO_FIELD,NO_METHOD,50,106,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.AddPartnerCommand,com.helger.as2.cmd.partner.AddPartnerCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.StorePartnershipsCommand,NO_FIELD,NO_METHOD,47,86,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.StorePartnershipsCommand,com.helger.as2.cmd.partner.StorePartnershipsCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.ViewPartnershipCommand,NO_FIELD,NO_METHOD,46,79,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.ViewPartnershipCommand,com.helger.as2.cmd.partner.ViewPartnershipCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.cert.ViewCertCommand,NO_FIELD,NO_METHOD,47,75,0,SnVI,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ViewCertCommand,com.helger.as2.cmd.cert.ViewCertCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.AddPartnershipCommand,NO_FIELD,NO_METHOD,50,125,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.AddPartnershipCommand,com.helger.as2.cmd.partner.AddPartnershipCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.cert.ImportCertCommand,NO_FIELD,NO_METHOD,58,169,0,SnVI,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ImportCertCommand,com.helger.as2.cmd.cert.ImportCertCommand.NO_METHOD
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.helger.as2.cmd.cert.ImportCertCommand,NO_FIELD,importPrivateKey(Lcom/helger/security/keystore/IKeyStoreType;Lcom/helger/as2lib/cert/IAliasedCertificateFactory;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/helger/as2/cmd/CommandResult;,147,169,0,THROWS,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ImportCertCommand,com.helger.as2.cmd.cert.ImportCertCommand.importPrivateKey
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.RefreshPartnershipsCommand,NO_FIELD,NO_METHOD,45,82,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.RefreshPartnershipsCommand,com.helger.as2.cmd.partner.RefreshPartnershipsCommand.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,93,93,0,EI,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.getFileMonitor
M,V,EI_EXPOSE_REP2,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,68,68,0,EI2,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.setFileMonitor
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,98,109,0,SF,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.onFileMonitorEvent
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,NO_FIELD,NO_METHOD,59,128,0,SnVI,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,m_aFileMonitor,NO_METHOD,-1,-1,0,Se,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.ListPartnershipsCommand,NO_FIELD,NO_METHOD,45,75,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.ListPartnershipsCommand,com.helger.as2.cmd.partner.ListPartnershipsCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.cert.ListCertCommand,NO_FIELD,NO_METHOD,43,74,0,SnVI,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ListCertCommand,com.helger.as2.cmd.cert.ListCertCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.ViewPartnerCommand,NO_FIELD,NO_METHOD,46,80,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.ViewPartnerCommand,com.helger.as2.cmd.partner.ViewPartnerCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.cert.DeleteCertCommand,NO_FIELD,NO_METHOD,40,70,0,SnVI,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.DeleteCertCommand,com.helger.as2.cmd.cert.DeleteCertCommand.NO_METHOD
M,V,EI_EXPOSE_REP2,com.helger.as2.app.partner.ServerXMLPartnershipFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,68,68,0,EI2,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.setFileMonitor
M,V,EI_EXPOSE_REP,com.helger.as2.app.partner.ServerXMLPartnershipFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,93,93,0,EI,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.getFileMonitor
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.partner.ServerXMLPartnershipFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,98,109,0,SF,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.onFileMonitorEvent
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.partner.ServerXMLPartnershipFactory,NO_FIELD,NO_METHOD,59,128,0,SnVI,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.app.partner.ServerXMLPartnershipFactory,m_aFileMonitor,NO_METHOD,-1,-1,0,Se,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.cert.ClearCertsCommand,NO_FIELD,NO_METHOD,40,65,0,SnVI,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ClearCertsCommand,com.helger.as2.cmd.cert.ClearCertsCommand.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2servlet.AS2ReceiveServlet,NO_FIELD,NO_METHOD,35,44,0,SnVI,com.helger.as2servlet,com.helger.as2servlet.AS2ReceiveServlet,com.helger.as2servlet.AS2ReceiveServlet.NO_METHOD
