priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.IntRange,NO_FIELD,getMinimumNumber()Ljava/lang/Number;,166,166,0,0.0,0.0,0.6555483386235468,0.5815202151904569,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.IntRange,org.apache.commons.lang.math.IntRange.getMinimumNumber,0.007848466353757822,0.004564041842952309
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.IntRange,NO_FIELD,getMaximumNumber()Ljava/lang/Number;,219,219,0,0.0,0.0,0.6555483386235468,0.5815202151904569,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.IntRange,org.apache.commons.lang.math.IntRange.getMaximumNumber,0.007848466353757822,0.004564041842952309
L,P,DM_FP_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableFloat,NO_FIELD,getValue()Ljava/lang/Float;,89,89,0,0.0,0.0,0.2435878952630701,0.30849171485766924,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableFloat,org.apache.commons.lang.mutable.MutableFloat.getValue,0.014230725349546176,0.0043900608667500046
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.CharUtils,NO_FIELD,<clinit>()V,75,75,0,0.0,0.0,0.8809274373551491,0.8615035374404866,Bx,org.apache.commons.lang,org.apache.commons.lang.CharUtils,org.apache.commons.lang.CharUtils.<clinit>,0.0028059941667504776,0.002417373900692907
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.CharUtils,NO_FIELD,toCharacterObject(C)Ljava/lang/Character;,109,109,0,0.0,0.0,0.6058708840810831,0.6992969970786964,Bx,org.apache.commons.lang,org.apache.commons.lang.CharUtils,org.apache.commons.lang.CharUtils.toCharacterObject,0.0028059941667504776,0.001962223294628948
L,P,DM_FP_NUMBER_CTOR,org.apache.commons.lang.math.DoubleRange,NO_FIELD,getMinimumNumber()Ljava/lang/Number;,183,183,0,0.0,0.0,0.19069319327141773,0.2140448609700528,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.DoubleRange,org.apache.commons.lang.math.DoubleRange.getMinimumNumber,0.007251332595796038,0.001552110477314775
L,P,DM_FP_NUMBER_CTOR,org.apache.commons.lang.math.DoubleRange,NO_FIELD,getMaximumNumber()Ljava/lang/Number;,242,242,0,0.0,0.0,0.19069319327141773,0.2140448609700528,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.DoubleRange,org.apache.commons.lang.math.DoubleRange.getMaximumNumber,0.007251332595796038,0.001552110477314775
L,I,DM_CONVERT_CASE,org.apache.commons.lang.WordUtils,NO_FIELD,capitalizeFully(Ljava/lang/String;[C)Ljava/lang/String;,354,354,0,0.0,0.0,0.06649301707125785,0.029103805484109038,Dm,org.apache.commons.lang,org.apache.commons.lang.WordUtils,org.apache.commons.lang.WordUtils.capitalizeFully,0.0030171980287639543,8.781194453618335e-05
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,org.apache.commons.lang.text.translate.CharSequenceTranslator,NO_FIELD,translate(Ljava/lang/CharSequence;)Ljava/lang/String;,52,61,0,0.0,0.0,0.10473271170329447,0.12412229183078148,THROWS,org.apache.commons.lang.text.translate,org.apache.commons.lang.text.translate.CharSequenceTranslator,org.apache.commons.lang.text.translate.CharSequenceTranslator.translate,0.0002715478225887559,3.3705138081374836e-05
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,org.apache.commons.lang.concurrent.ConcurrentUtils,NO_FIELD,throwCause(Ljava/util/concurrent/ExecutionException;)V,111,118,0,0.0,0.0,0.09506772929166266,0.10479769743583536,THROWS,org.apache.commons.lang.concurrent,org.apache.commons.lang.concurrent.ConcurrentUtils,org.apache.commons.lang.concurrent.ConcurrentUtils.throwCause,9.051594086291863e-05,9.485862183672113e-06
